,company_name,rating,description,highly rated for,critically rated for
106,Standard Chartered,3.9,Banking | 10k-50k Employees | Fortune India 500 | 171 years old | London +58 more,Job Security,Promotions / Appraisal
107,DMart,4.0,Retail | 10k-50k Employees | Fortune India 500 | 24 years old | Mumbai +211 more,"Job Security, Company Culture",Promotions / Appraisal
108,Cyient,3.8,IT Services & Consulting | 10k-50k Employees | Public | 33 years old | Hyderabad/Secunderabad +35 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
109,Coforge,3.5,IT Services & Consulting | 10k-50k Employees | Public | 20 years old | Noida +86 more,--,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
110,BigBasket,4.0,Internet | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +114 more,"Job Security, Skill Development / Learning",Promotions / Appraisal
111,ICICI Lombard General Insurance Company,3.8,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +261 more,Job Security,Promotions / Appraisal
112,Indiamart Intermesh,3.6,Internet | 5k-10k Employees | 28 years old | Noida +140 more,--,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
113,CGI Group,4.1,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 48 years old | Montreal +28 more,"Job Security, Work Life Balance, Company Culture",--
114,Virtusa Consulting Services,3.8,IT Services & Consulting | 10k-50k Employees | 28 years old | Southborough +37 more,--,Promotions / Appraisal
115,Equitas Small Finance Bank,4.4,Banking | 10k-50k Employees | Fortune India 500 | 17 years old | Chennai +367 more,"Job Security, Company Culture, Work Life Balance",--
116,TVS Motor,4.1,Automobile | 5k-10k Employees | Public | 45 years old | Chennai +276 more,"Skill Development / Learning, Salary & Benefits, Company Culture",--
117,Manappuram Finance,4.0,NBFC | 10k-50k Employees | Public | 75 years old | Thrissur/Trichur +497 more,"Skill Development / Learning, Promotions / Appraisal",--
118,GlobalLogic,3.7,IT Services & Consulting | 10k-50k Employees | 24 years old | San Jose +32 more,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
119,UST,3.9,IT Services & Consulting | 10k-50k Employees | 23 years old | Aliso Viejo +36 more,"Work Life Balance, Company Culture",Promotions / Appraisal
120,Ekart Logistics,4.1,Logistics | 1k-5k Employees | 15 years old | San Francisco +570 more,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
121,SBI Cards & Payment Services,3.8,Financial Services | 1k-5k Employees | 26 years old | Gurgaon/Gurugram +340 more,--,"Promotions / Appraisal, Work Satisfaction, Company Culture"
122,Hewlett Packard Enterprise,4.3,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 9 years old | Houston +90 more,"Company Culture, Work Life Balance, Job Security",--
123,Atos Syntel,3.6,IT Services & Consulting | 5k-10k Employees | 44 years old | Troy +23 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
124,Bosch Global Software Technologies,4.1,IT Services & Consulting | 10k-50k Employees | 27 years old | Gerlingen +30 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
125,IQVIA,4.1,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 42 years old | Durham +42 more,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
126,Nagarro,4.1,IT Services & Consulting | 10k-50k Employees | 28 years old | Munich +39 more,"Company Culture, Work Life Balance, Salary & Benefits",--
127,Cholamandalam Investment & Finance,4.1,NBFC | 10k-50k Employees | Fortune India 500 | 46 years old | Chennai +633 more,"Salary & Benefits, Job Security, Skill Development / Learning",--
128,Bosch,4.3,Auto Components | 5k-10k Employees | Public | 138 years old | Gerlingen +100 more,"Company Culture, Work Life Balance, Skill Development / Learning",--
129,SMFG India Credit,4.1,NBFC | 10k-50k Employees | 17 years old | Mumbai +483 more,"Salary & Benefits, Job Security, Skill Development / Learning",--
130,Reliance Communications,4.0,Telecom | 201-500 Employees | Public | 22 years old | Navi Mumbai +424 more,Skill Development / Learning,Promotions / Appraisal
131,BNY Mellon,4.1,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 20 years old | New York City +16 more,"Company Culture, Work Life Balance, Salary & Benefits",--
132,Schneider Electric,4.2,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 25 years old | Paris +116 more,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
133,L&T Technology Services,3.4,IT Services & Consulting | 10k-50k Employees | Public | 12 years old | Vadodara/Baroda +48 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
134,Hyundai Motor,4.4,Automobile | 10k-50k Employees | Fortune India 500 | 57 years old | Seoul +264 more,"Job Security, Salary & Benefits, Skill Development / Learning",--
135,Amdocs,4.0,Software Product | 10k-50k Employees | Forbes Global 2000 | 42 years old | Chesterfield +15 more,"Company Culture, Job Security, Salary & Benefits",--
136,Oyo Rooms,3.4,Hospitality | 1k-5k Employees | Indian Unicorn | 11 years old | Gurgaon +117 more,--,"Job Security, Promotions / Appraisal, Work Satisfaction"
137,CBRE,4.3,Real Estate | 10k-50k Employees | Forbes Global 2000 | 118 years old | Los Angeles +75 more,"Skill Development / Learning, Job Security, Company Culture",--
138,State Bank of India,3.8,Banking | 1 Lakh+ Employees | Fortune India 500 | 218 years old | Mumbai +484 more,Job Security,"Work Life Balance, Company Culture, Work Satisfaction"
139,JBM Group,4.0,Auto Components | 1k-5k Employees | Public | 41 years old | Gurgaon/Gurugram +87 more,"Job Security, Skill Development / Learning",--
140,Swiggy,3.9,Internet | 5k-10k Employees | Indian Unicorn | 10 years old | Kochi +182 more,--,"Job Security, Promotions / Appraisal"
141,BT Group,4.1,Telecom | 10k-50k Employees | Forbes Global 2000 | 178 years old | Gurgaon / Gurugram +18 more,"Job Security, Work Life Balance, Company Culture",--
142,Ecom Express,4.1,Logistics | 10k-50k Employees | 12 years old | Kochi +625 more,"Skill Development / Learning, Work Life Balance, Company Culture",--
143,SBI Life Insurance Company,3.9,Insurance | 10k-50k Employees | 23 years old | Kochi +523 more,Job Security,Promotions / Appraisal
144,Optum,4.0,Healthcare | 10k-50k Employees | 47 years old | Hyderabad / Secunderabad +28 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
145,Dell,4.2,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 40 years old | Kochi +101 more,"Company Culture, Work Life Balance, Skill Development / Learning",--
146,Nagarjuna Construction Company,4.2,Engineering & Construction | 5k-10k Employees | Public | 26 years old | Kochi +225 more,"Job Security, Company Culture, Skill Development / Learning",--
147,Bajaj Auto,3.9,Automobile | 5k-10k Employees | Public | 79 years old | Kochi +252 more,--,Promotions / Appraisal
148,KEC International,4.1,Engineering & Construction | 5k-10k Employees | Public | 79 years old | Kochi +267 more,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
149,Future Group,4.3,Retail | 10k-50k Employees | Conglomerate | 11 years old | Kochi +202 more,"Skill Development / Learning, Company Culture, Work Life Balance",--
150,Piramal Capital Housing Finance,4.2,NBFC | 1k-5k Employees | 4 years old | Kochi +329 more,"Company Culture, Skill Development / Learning, Work Life Balance",--
151,Aditya Birla Fashion and Retail,4.2,Fashion & Textile | 10k-50k Employees | Fortune India 500 | 9 years old | Kochi +227 more,"Job Security, Skill Development / Learning, Company Culture",--
152,Muthoot Fincorp,4.1,NBFC | 10k-50k Employees | Conglomerate | 137 years old | Kochi +538 more,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
153,Royal Enfield,4.3,Automobile | 5k-10k Employees | 123 years old | Kochi +304 more,"Skill Development / Learning, Company Culture, Work Satisfaction",--
154,L&T Finance,4.0,NBFC | 10k-50k Employees | Public | 30 years old | Kochi +476 more,"Salary & Benefits, Skill Development / Learning",--
155,Viatris,4.3,Pharma | 10k-50k Employees | Forbes Global 2000 | 4 years old | Hyderabad / Secunderabad +70 more,"Salary & Benefits, Job Security, Work Life Balance",--
156,Tata Communications,4.2,Telecom | 5k-10k Employees | Public | 38 years old | Kochi +90 more,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
157,Samvardhana Motherson Group,3.8,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +79 more,Job Security,--
158,LG Electronics,4.1,Consumer Electronics & Appliances | 1k-5k Employees | Public | 66 years old | Kochi +248 more,"Job Security, Skill Development / Learning, Salary & Benefits",--
159,Intas Pharmaceuticals,4.2,Pharma | 10k-50k Employees | Fortune India 500 | 24 years old | Kochi +114 more,"Job Security, Work Life Balance, Salary & Benefits",--
160,John Deere,4.3,Industrial Machinery | 5k-10k Employees | Fortune India 500 | 23 years old | Moline +121 more,"Company Culture, Skill Development / Learning, Work Life Balance",--
161,Varun Beverages,4.1,Beverage | 5k-10k Employees | Public | 29 years old | Gurgaon/Gurugram +281 more,"Job Security, Salary & Benefits",Promotions / Appraisal
162,Kogta Financial India Limited,4.8,NBFC | 1k-5k Employees | Public | 28 years old | Jaipur +206 more,"Company Culture, Work Life Balance, Work Satisfaction",--
163,Persistent Systems,3.8,IT Services & Consulting | 10k-50k Employees | Public | 34 years old | Pune +33 more,Company Culture,Promotions / Appraisal
164,Godrej & Boyce Manufacturing,3.9,Engineering & Construction | 10k-50k Employees | Fortune India 500 | 127 years old | Mumbai +130 more,Job Security,Promotions / Appraisal
165,Randstad,3.9,Recruitment | 5k-10k Employees | Conglomerate | 32 years old | Chennai +260 more,--,"Promotions / Appraisal, Job Security"
166,Thermax Limited,4.2,Industrial Machinery | 1k-5k Employees | Public | 58 years old | Pune +179 more,"Job Security, Company Culture, Skill Development / Learning",--
167,Hetero Drugs,3.9,Pharma | 1k-5k Employees | 31 years old | Hyderabad/Secunderabad +45 more,Job Security,"Promotions / Appraisal, Salary & Benefits"
168,Macleods Pharmaceuticals,3.8,Pharma | 10k-50k Employees | Public | 38 years old | Mumbai +98 more,Job Security,Promotions / Appraisal
169,Havells,4.1,Electrical Equipment | 5k-10k Employees | Public | 41 years old | Noida +180 more,"Work Life Balance, Salary & Benefits, Company Culture",--
