,company_name,rating,description,highly rated for,critically rated for
526,Team Computers,3.7,IT Services & Consulting | 1k-5k Employees | 37 years old | Delhi/NCR +83 more,--,"Promotions / Appraisal, Salary & Benefits"
527,KONE,4.3,Industrial Machinery | 5k-10k Employees | Forbes Global 2000 | 114 years old | Chennai +65 more,"Job Security, Company Culture, Work Life Balance",--
528,NTPC,4.3,10k-50k Employees | Fortune India 500 | 49 years old | Delhi/NCR +100 more,"Skill Development / Learning, Company Culture, Work Life Balance",--
529,Isgec Heavy Engineering,3.9,Industrial Machinery | 1k-5k Employees | Public | 91 years old | Noida +69 more,Job Security,Promotions / Appraisal
530,DHL Supply Chain,4.3,Logistics | 1k-5k Employees | 55 years old | Bonn +78 more,"Job Security, Company Culture, Skill Development / Learning",--
531,Mother Dairy Fruit & Vegetable,4.2,Food Processing | 1k-5k Employees | 50 years old | Noida +111 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
532,Torrent Power,3.8,Power | 5k-10k Employees | Public | 28 years old | Ahmedabad +37 more,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
533,PI Industries,4.1,Agro Chemicals | 1k-5k Employees | Public | 77 years old | Gurgaon/Gurugram +87 more,"Salary & Benefits, Skill Development / Learning, Job Security",--
534,Oberoi Group of Hotels,4.2,Hospitality | 1k-5k Employees | 90 years old | Delhi/NCR +31 more,"Job Security, Skill Development / Learning, Company Culture",--
535,Honeywell Technology Solutions,3.9,Defence & Aerospace | 10k-50k Employees | 30 years old | Bangalore/Bengaluru +18 more,"Job Security, Company Culture",Promotions / Appraisal
536,Chegg,4.2,EdTech | 501-1k Employees | 19 years old | Santa Clara +61 more,"Work Life Balance, Skill Development / Learning, Company Culture",--
537,DIVI'S Laboratories,3.9,Healthcare | 10k-50k Employees | Public | 34 years old | Hyderabad/Secunderabad +21 more,Job Security,"Work Satisfaction, Promotions / Appraisal, Company Culture"
538,Honda Cars,4.4,Automobile | 5k-10k Employees | Fortune India 500 | Alwar +87 more,"Work Life Balance, Company Culture, Work Satisfaction",--
539,Sigma Electric Manufacturing Corporation,4.0,Industrial Machinery | 1k-5k Employees | 42 years old | Garner +20 more,"Company Culture, Skill Development / Learning",Promotions / Appraisal
540,Haier Appliances India,4.1,Consumer Electronics & Appliances | 1k-5k Employees | Conglomerate | 20 years old | Qingdao +111 more,"Salary & Benefits, Skill Development / Learning, Work Life Balance",--
541,Johnson & Johnson,4.2,Pharma | 1k-5k Employees | Forbes Global 2000 | 67 years old | New Brunswick +136 more,"Company Culture, Skill Development / Learning, Work Life Balance",--
542,Credit Suisse,4.2,Financial Services | 10k-50k Employees | 168 years old | Zurich +9 more,"Work Life Balance, Company Culture, Salary & Benefits",Job Security
543,Saint-Gobain,4.1,Building Material | 10k-50k Employees | Forbes Global 2000 | 359 years old | Paris +86 more,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
544,Max Fashion,4.2,Retail | 10k-50k Employees | 10 years old | Abu Dhabi +137 more,"Skill Development / Learning, Job Security, Company Culture",--
545,Arvind Group,4.1,Fashion & Textile | 10k-50k Employees | Public | 93 years old | Ahmedabad +79 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
546,Verizon,4.2,Telecom | 5k-10k Employees | Forbes Global 2000 | 24 years old | New York City +11 more,"Salary & Benefits, Company Culture, Work Life Balance",--
547,Jindal Saw,4.0,Building Material | 5k-10k Employees | Public | 40 years old | Delhi/NCR +61 more,Job Security,--
548,Hyatt Regency,4.2,Hospitality | 1k-5k Employees | Forbes Global 2000 | 44 years old | New Delhi +44 more,"Skill Development / Learning, Company Culture, Job Security",--
549,Paisabazaar.com,3.7,Internet | 1k-5k Employees | Startup | 10 years old | Gurgaon/Gurugram +15 more,--,"Job Security, Promotions / Appraisal, Work Satisfaction"
550,Tata Communications Transformation Services,4.2,Hardware & Networking | 1k-5k Employees | 18 years old | Mumbai +82 more,"Job Security, Company Culture, Work Life Balance",--
551,Star Union Dai-ichi Life Insurance,3.9,Insurance | 1k-5k Employees | 15 years old | Navi Mumbai +222 more,--,--
552,V-Guard Industries,4.4,Consumer Electronics & Appliances | 1k-5k Employees | Public | 47 years old | Kochi/Cochin +128 more,"Company Culture, Job Security, Work Life Balance",--
553,Medi Assist India,3.7,Insurance | 5k-10k Employees | 24 years old | Bangalore +53 more,--,"Promotions / Appraisal, Salary & Benefits"
554,DHL Express,4.1,Logistics | 1k-5k Employees | Conglomerate | 45 years old | Bonn +82 more,"Job Security, Company Culture, Work Life Balance",--
555,Exela Technologies,3.5,IT Services & Consulting | 1k-5k Employees | 13 years old | Irving +20 more,--,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
556,Daikin,4.2,Consumer Electronics & Appliances | 1k-5k Employees | Fortune India 500 | 24 years old | Osaka City +86 more,"Job Security, Company Culture, Work Life Balance",--
557,Globiva,3.2,BPO | 1k-5k Employees | 7 years old | Gurgaon/Gurugram +16 more,--,"Promotions / Appraisal, Salary & Benefits, Job Security"
558,FactSet,4.0,Financial Services | 1k-5k Employees | 46 years old | Norwalk +13 more,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
559,Tata Group,4.3,IT Services & Consulting | 1 Lakh+ Employees | Conglomerate | 156 years old | Mumbai +151 more,"Job Security, Company Culture, Work Life Balance",--
560,CG Power and Industrial Solutions,3.9,Electrical Equipment | 1k-5k Employees | Public | 87 years old | Mumbai +82 more,Job Security,Promotions / Appraisal
561,HDFC Securities,3.6,Financial Services | 1k-5k Employees | Public | 24 years old | Mumbai +162 more,--,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
562,Haldiram Foods,4.0,FMCG | 1k-5k Employees | 54 years old | Nagpur +120 more,--,Promotions / Appraisal
563,Piramal Group,4.0,Financial Services | 10k-50k Employees | Fortune India 500 | 44 years old | Mumbai +122 more,"Skill Development / Learning, Company Culture, Work Life Balance",--
564,UBS,3.9,Investment Banking / Venture Capital / Private Equity | 5k-10k Employees | Forbes Global 2000 | 9 years old | Zurich +30 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
565,Medanta the Medicity,4.2,Healthcare | 5k-10k Employees | 15 years old | Gurgaon +33 more,"Job Security, Skill Development / Learning, Company Culture",--
566,Nuvoco Vistas,4.3,Building Material | 1k-5k Employees | Fortune India 500 | 25 years old | Mumbai +141 more,"Job Security, Skill Development / Learning, Company Culture",--
567,Aadhar Housing Finance,4.1,Financial Services | 1k-5k Employees | 14 years old | Mumbai +247 more,"Job Security, Skill Development / Learning, Salary & Benefits",--
568,Orange Business,4.3,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 32 years old | Paris +45 more,"Job Security, Work Life Balance, Company Culture",--
569,Hindustan Petroleum,4.2,Oil & Gas | 5k-10k Employees | Central | 50 years old | Mumbai +202 more,"Salary & Benefits, Skill Development / Learning, Company Culture",--
570,Relaxo Footwear,4.3,Fashion & Textile | 5k-10k Employees | Public | 40 years old | New Delhi +126 more,"Job Security, Company Culture, Work Satisfaction",--
571,FirstCry,3.8,Retail | 1k-5k Employees | Indian Unicorn | 14 years old | Pune +143 more,--,"Promotions / Appraisal, Salary & Benefits"
572,Morgan Stanley,3.7,Financial Services | 10k-50k Employees | Forbes Global 2000 | 93 years old | New York +16 more,--,"Promotions / Appraisal, Job Security, Work Satisfaction"
573,First American Corporation,3.9,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 135 years old | Santa Ana +13 more,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
574,BNP Paribas,3.9,Financial Services | 10k-50k Employees | Forbes Global 2000 | 176 years old | Paris +21 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
575,Aforeserve,3.5,IT Services & Consulting | 1k-5k Employees | 24 years old | Noida +148 more,--,"Promotions / Appraisal, Salary & Benefits, Job Security"
576,Photon Interactive,3.9,IT Services & Consulting | 1k-5k Employees | 25 years old | London +9 more,"Salary & Benefits, Skill Development / Learning, Work Life Balance",--
577,Oracle Cerner,3.8,IT Services & Consulting | 5k-10k Employees | Public | 45 years old | Kansas +5 more,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
578,Biocon Biologics,3.8,Biotechnology | 1k-5k Employees | Public | 46 years old | Bangalore/Bengaluru +30 more,--,"Promotions / Appraisal, Work Satisfaction"
579,Belrise Industries,3.8,Auto Components | 10k-50k Employees | 28 years old | Aurangabad +38 more,--,"Promotions / Appraisal, Salary & Benefits"
580,Aon,4.0,Financial Services | 5k-10k Employees | Forbes Global 2000 | 84 years old | London +18 more,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
581,Security and Intelligence Services (India),4.2,Law Enforcement & Security | 1 Lakh+ Employees | Public | 39 years old | Delhi/NCR +154 more,"Job Security, Work Life Balance, Skill Development / Learning",--
582,IDC Technologies,3.3,IT Services & Consulting | 1k-5k Employees | 21 years old | Milpitas +55 more,--,"Job Security, Promotions / Appraisal, Skill Development / Learning"
583,Emami,4.0,Beauty & Personal Care | 1k-5k Employees | Public | 50 years old | Kolkata +148 more,"Job Security, Work Life Balance",Promotions / Appraisal
584,Bata,3.9,Fashion & Textile | 1k-5k Employees | Public | 93 years old | Lausanne +117 more,Skill Development / Learning,Promotions / Appraisal
585,Exotic Learning,4.5,EdTech | 51-200 Employees | 4 years old | Lucknow +141 more,"Company Culture, Work Life Balance, Skill Development / Learning",--
586,Dell EMC,4.2,IT Services & Consulting | 5k-10k Employees | 45 years old | Hopkinton +51 more,"Work Life Balance, Company Culture, Job Security",--
587,Fusion BPO Services,3.1,BPO | 1k-5k Employees | 20 years old | Kolkata +44 more,--,"Promotions / Appraisal, Job Security, Salary & Benefits"
588,Hindustan Construction Company,4.2,Engineering & Construction | 1k-5k Employees | Public | 98 years old | Mumbai +83 more,"Job Security, Skill Development / Learning, Company Culture",--
589,Toyota Kirloskar Motor,4.4,Automobile | 5k-10k Employees | Fortune India 500 | 27 years old | Bangalore/Bengaluru +70 more,"Company Culture, Skill Development / Learning, Job Security",--
590,Marriott International,4.3,Hospitality | 10k-50k Employees | Forbes Global 2000 | 97 years old | Bethesda +72 more,"Skill Development / Learning, Job Security, Company Culture",--
591,Narayana Educational Society,3.7,Education & Training | 1k-5k Employees | 39 years old | Hyderabad/Secunderabad +129 more,--,"Promotions / Appraisal, Salary & Benefits, Company Culture"
592,Mercer,3.8,Management Consulting | 1k-5k Employees | 79 years old | New York +17 more,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
593,Tesco,3.9,Retail | 1k-5k Employees | Forbes Global 2000 | 105 years old | Hertfordshire +14 more,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
594,KFC,4.3,Hospitality | 5k-10k Employees | 72 years old | Louisville +137 more,"Skill Development / Learning, Company Culture, Job Security",--
595,Faurecia,4.0,Auto Components | 1k-5k Employees | 27 years old | Nanterre +25 more,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
596,Tata Power,4.0,Power | 10k-50k Employees | Public | 113 years old | Mumbai +119 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
597,Trident Group,3.5,Fashion & Textile | 10k-50k Employees | Public | 34 years old | Ludhiana +43 more,Salary & Benefits,"Job Security, Company Culture, Work Life Balance"
598,FedEx Express,4.3,Logistics | 5k-10k Employees | Forbes Global 2000 | 53 years old | 	Moon Township +90 more,"Company Culture, Skill Development / Learning, Work Life Balance",--
599,Iris Software,4.2,IT Services & Consulting | 1k-5k Employees | 33 years old | Edison +16 more,"Company Culture, Salary & Benefits, Work Life Balance",--
600,Trent,4.1,Retail | 10k-50k Employees | Public | 26 years old | Mumbai +108 more,"Job Security, Skill Development / Learning, Company Culture",--
601,Veritas Finance,4.7,NBFC | 1k-5k Employees | Startup | 9 years old | Chennai +259 more,"Company Culture, Job Security, Work Satisfaction",--
602,Altruist Technologies,3.2,BPO | 1k-5k Employees | 19 years old | Chandigarh +30 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
603,Ola Electric Mobility,3.3,Automobile | 5k-10k Employees | Indian Unicorn | 7 years old | Bangalore +161 more,--,"Job Security, Work Life Balance, Company Culture"
604,L.G.Balakrishnan & Bros,3.7,Auto Components | 1k-5k Employees | Public | 87 years old | Coimbatore +38 more,--,"Salary & Benefits, Promotions / Appraisal, Company Culture"
605,Marico,4.1,FMCG | 1k-5k Employees | Public | 36 years old | Mumbai +147 more,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
606,HTC Global Services,3.6,IT Services & Consulting | 5k-10k Employees | 34 years old | Troy +25 more,--,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
607,TaskUs,3.5,BPO | 5k-10k Employees | 16 years old | New Braunfels +22 more,--,"Promotions / Appraisal, Job Security, Salary & Benefits"
608,Tata Advanced Systems,3.9,Defence & Aerospace | 5k-10k Employees | 17 years old | Hyderabad/Secunderabad +35 more,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
609,iOPEX Technologies,3.8,IT Services & Consulting | 1k-5k Employees | 15 years old | San Jose +14 more,"Job Security, Skill Development / Learning",--
610,NIIT,3.6,Education & Training | 1k-5k Employees | Public | 43 years old | Gurgaon / Gurugram +95 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
611,Muthoot Group,3.7,Financial Services | 10k-50k Employees | Public | 137 years old | Wedel +270 more,--,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
612,Suguna Foods,4.1,Food Processing | 5k-10k Employees | 40 years old | Coimbatore +157 more,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
613,Polycab Wires,4.1,Electrical Equipment | 1k-5k Employees | Fortune India 500 | 28 years old | Mumbai +113 more,"Salary & Benefits, Work Life Balance",--
614,Jet Airways,4.6,Aviation | 201-500 Employees | Public | 31 years old | Mumbai +45 more,"Skill Development / Learning, Work Satisfaction, Company Culture",--
615,Infinite Computer Solutions,3.5,IT Services & Consulting | 1k-5k Employees | Public | 23 years old | Rockville  +28 more,--,"Promotions / Appraisal, Job Security, Skill Development / Learning"
616,Hero Motors Company,4.1,Automobile | 201-500 Employees | 26 years old | New Delhi +195 more,"Company Culture, Work Life Balance, Skill Development / Learning",--
617,Sony,4.4,Consumer Electronics & Appliances | 1k-5k Employees | Public | 30 years old | Delhi/NCR +127 more,"Company Culture, Work Life Balance, Job Security",--
618,Bajaj Capital,3.9,Financial Services | 1k-5k Employees | Public | 60 years old | Delhi/NCR +142 more,"Skill Development / Learning, Company Culture, Work Life Balance",--
619,Krishna Maruti,4.0,Auto Components | 1k-5k Employees | 30 years old | Gurgaon/Gurugram +29 more,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
620,Welspun,4.1,Fashion & Textile | 10k-50k Employees | Fortune India 500 | 39 years old | Mumbai +58 more,"Skill Development / Learning, Company Culture",--
621,Manipal Hospitals,4.2,Healthcare | 1k-5k Employees | 71 years old | Bangalore/Bengaluru +49 more,"Skill Development / Learning, Job Security, Company Culture",--
622,Oracle Financial Services Software,3.7,IT Services & Consulting | 10k-50k Employees | Public | 34 years old | Mumbai +18 more,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
623,Pantaloons,4.2,Fashion & Textile | 5k-10k Employees | Public | 27 years old | Mumbai +141 more,"Job Security, Skill Development / Learning, Company Culture",--
624,Inox Leisure,4.1,Media & Entertainment | 1k-5k Employees | Public | 25 years old | Mumbai +84 more,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
625,SRL Diagnostics,4.2,Healthcare | 5k-10k Employees | 29 years old | Mumbai +117 more,"Skill Development / Learning, Company Culture, Job Security",--
626,Satin Creditcare Network,4.2,NBFC | 5k-10k Employees | Public | 34 years old | Gurgaon/Gurugram +230 more,"Company Culture, Work Life Balance, Job Security",--
627,Nayara Energy,4.3,Petrochemicals | 1k-5k Employees | Fortune India 500 | 35 years old | Mumbai +75 more,"Job Security, Salary & Benefits, Work Life Balance",--
628,ISS Facility Services,4.2,Facility Management Services | 10k-50k Employees | 19 years old | Copenhagen +54 more,"Work Life Balance, Job Security, Company Culture",--
629,ZF Commercial Vehicle Control Systems,4.0,Auto Components | Chennai +34 more,"Skill Development / Learning, Company Culture","Promotions / Appraisal, Job Security"
630,Akzo Nobel India,4.1,Chemicals | 1k-5k Employees | Public | 85 years old | Amsterdam +126 more,"Company Culture, Salary & Benefits, Job Security",Promotions / Appraisal
631,Fabindia,3.9,Fashion & Textile | 1k-5k Employees | 66 years old | Delhi/NCR +82 more,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
632,Barclays Shared Services,4.1,IT Services & Consulting | 5k-10k Employees | 17 years old | London +12 more,"Company Culture, Job Security, Work Life Balance",--
633,TTEC India,3.8,BPO | 1k-5k Employees | Public | 40 years old | Englewood +24 more,Company Culture,"Promotions / Appraisal, Salary & Benefits"
634,J. Kumar Infraprojects,4.1,Engineering & Construction | 5k-10k Employees | Public | 44 years old | Mumbai +29 more,"Job Security, Skill Development / Learning, Work Satisfaction",--
635,Cushman & Wakefield,4.3,Real Estate | 1k-5k Employees | 27 years old | Chicago +37 more,"Company Culture, Work Life Balance, Job Security",--
636,Collabera Technologies,3.5,IT Services & Consulting | 501-1k Employees | 33 years old | Basking Ridge +47 more,--,"Promotions / Appraisal, Job Security, Work Satisfaction"
637,ICICI Home Finance,3.7,NBFC | 1k-5k Employees | 25 years old | Mumbai +182 more,Salary & Benefits,"Work Life Balance, Work Satisfaction"
638,Gland Pharma,3.7,Pharma | 1k-5k Employees | Fortune India 500 | 46 years old | Hyderabad/Secunderabad +27 more,--,"Salary & Benefits, Promotions / Appraisal, Company Culture"
639,Daimler India Commercial Vehicles,4.2,Automobile | 1k-5k Employees | 138 years old | Chennai +38 more,"Work Life Balance, Job Security, Company Culture",--
640,Biocon Limited,3.9,Biotechnology | 5k-10k Employees | Public | 46 years old | Bangalore Rural +48 more,Job Security,Promotions / Appraisal
641,Adani Group,3.9,Power | 10k-50k Employees | Public | 36 years old | Ahmedabad +116 more,"Job Security, Salary & Benefits",--
642,VLCC,3.7,Beauty & Personal Care | 1k-5k Employees | Conglomerate | 35 years old | Delhi/NCR +100 more,--,Promotions / Appraisal
643,Panasonic,4.1,Consumer Electronics & Appliances | 1k-5k Employees | Forbes Global 2000 | 106 years old | Kadoma +109 more,"Work Life Balance, Company Culture, Job Security",--
644,Redcliffe Labs,4.5,Healthcare | 1k-5k Employees | 6 years old | Noida +74 more,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",--
645,Supreme Industries,4.2,Petrochemicals | 5k-10k Employees | Public | 82 years old | Mumbai +89 more,"Job Security, Skill Development / Learning, Work Life Balance",--
646,Asahi India Glass,3.9,Auto Components | 1k-5k Employees | Public | 40 years old | Gurgaon/Gurugram +63 more,"Job Security, Skill Development / Learning",Promotions / Appraisal
647,Jindal X,3.6,BPO | 1k-5k Employees | Public | 26 years old | New Delhi +21 more,--,"Job Security, Promotions / Appraisal"
648,Ashoka Buildcon,4.1,Engineering & Construction | 1k-5k Employees | Public | 48 years old | Nasik/Nashik +130 more,"Skill Development / Learning, Company Culture, Work Satisfaction",--
649,TCS iON,3.9,IT Services & Consulting | 1k-5k Employees | 13 years old | Mumbai +98 more,"Job Security, Work Life Balance, Company Culture",--
650,JioMart,3.9,51-200 Employees | Kolkata +261 more,"Salary & Benefits, Skill Development / Learning","Promotions / Appraisal, Job Security"
651,ITD Cementation India,4.3,Engineering & Construction | 1k-5k Employees | Public | 93 years old | Mumbai +66 more,"Job Security, Company Culture, Salary & Benefits",--
652,Sysnet Global Technologies,3.7,IT Services & Consulting | 1k-5k Employees | 25 years old | Delhi/NCR +110 more,--,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
653,NeoSOFT,3.8,IT Services & Consulting | 1k-5k Employees | 28 years old | Mumbai +19 more,Skill Development / Learning,--
654,Annapurna Finance,4.2,NBFC | 5k-10k Employees | 15 years old | Bhubaneswar +270 more,"Salary & Benefits, Job Security, Promotions / Appraisal",--
655,Chandigarh University,4.5,Education & Training | 1k-5k Employees | 12 years old | Mohali +40 more,"Job Security, Skill Development / Learning, Company Culture",--
656,Shadowfax Technologies,3.6,Logistics | 1k-5k Employees | Public | 9 years old | Bangalore +152 more,--,"Promotions / Appraisal, Job Security, Company Culture"
657,Godrej Group,4.0,Chemicals | 10k-50k Employees | Public | 127 years old | Mumbai +112 more,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
658,Granules India,3.9,Pharma | 1k-5k Employees | Public | 40 years old | Hyderabad/Secunderabad +15 more,Job Security,--
659,Aye Finance,4.2,NBFC | 5k-10k Employees | Startup | 11 years old | Delhi +231 more,"Job Security, Salary & Benefits, Work Life Balance",--
660,Ocwen Financial Solutions,4.1,Financial Services | 1k-5k Employees | 36 years old | West Palm Beach +8 more,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
661,Aptara,3.4,Printing & Publishing | 1k-5k Employees | 36 years old | Falls Church +11 more,--,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
662,Compass Group Support Services,4.1,Hospitality | 10k-50k Employees | Public | 83 years old | Chertsey +66 more,"Company Culture, Work Life Balance, Skill Development / Learning",--
663,Sanofi,4.4,Pharma | 1k-5k Employees | Public | 20 years old | Paris +71 more,"Work Life Balance, Company Culture, Skill Development / Learning",--
664,GMR Group,4.1,Engineering & Construction | 10k-50k Employees | Public | 46 years old | Delhi/NCR +55 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
665,Adani Ports and SEZ,3.9,Ports & Shipping | 1k-5k Employees | Public | 26 years old | Ahmedabad +69 more,--,Promotions / Appraisal
666,Heritage Foods,4.2,Food Processing | 1k-5k Employees | Public | 32 years old | Hyderabad/Secunderabad +90 more,"Job Security, Salary & Benefits, Company Culture",--
667,MiraMed Ajuba,4.0,BPO | 1k-5k Employees | 23 years old | Chennai +14 more,"Job Security, Company Culture, Skill Development / Learning",--
668,Canara Bank,3.4,Banking | 50k-1 Lakh Employees | Public | 118 years old | Bangalore/Bengaluru +163 more,Job Security,"Work Satisfaction, Work Life Balance, Company Culture"
669,GE,4.3,Defence & Aerospace | 10k-50k Employees | Forbes Global 2000 | 132 years old | Boston +61 more,"Company Culture, Work Life Balance, Skill Development / Learning",--
670,Bharat Forge,3.9,Iron & Steel | 1k-5k Employees | Public | 63 years old | Pune +18 more,--,"Promotions / Appraisal, Salary & Benefits, Company Culture"
671,HighRadius,3.0,FinTech | 1k-5k Employees | 18 years old | Houston +12 more,--,"Job Security, Work Satisfaction, Work Life Balance"
672,Caterpillar Inc,4.2,Industrial Machinery | 5k-10k Employees | Forbes Global 2000 | 99 years old | Deerfield +34 more,"Company Culture, Work Life Balance, Skill Development / Learning",--
673,Spicejet,3.5,Aviation | 5k-10k Employees | Public | 20 years old | Gurgaon/Gurugram +58 more,--,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
674,Unisys,3.8,IT Services & Consulting | 1k-5k Employees | 38 years old | Blue Bell +13 more,--,Promotions / Appraisal
675,EPAM Systems,3.8,IT Services & Consulting | 5k-10k Employees | 31 years old | Newtown +18 more,"Skill Development / Learning, Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal"
676,Bharat FIH,4.0,Electronics Manufacturing | 10k-50k Employees | Chennai +30 more,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
677,Broadridge Financial Solutions,4.0,FinTech | 5k-10k Employees | Forbes Global 2000 | 17 years old | New York City +7 more,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
678,NSE.IT,3.6,IT Services & Consulting | 1k-5k Employees | Public | 25 years old | Mumbai +137 more,--,"Promotions / Appraisal, Salary & Benefits, Job Security"
679,GE Vernova,4.2,Noida +69 more,"Work Life Balance, Company Culture, Skill Development / Learning",--
680,Evalueserve,3.5,IT Services & Consulting | 1k-5k Employees | 24 years old | Schaffhausen +11 more,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
681,Edelweiss,3.8,Financial Services | 1k-5k Employees | Public | 7 years old | Mumbai +109 more,Work Life Balance,Promotions / Appraisal
682,AB InBev India,3.5,Beverage | 1k-5k Employees | Public | 36 years old | Leuven +64 more,--,"Promotions / Appraisal, Job Security, Work Satisfaction"
683,Vfs Global Services,3.7,BPO | 1k-5k Employees | 23 years old | Mumbai +26 more,--,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
684,Sharekhan,4.0,Financial Services | 1k-5k Employees | Public | 24 years old | Mumbai +106 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
685,Xiaomi,3.9,Consumer Electronics & Appliances | 1k-5k Employees | Forbes Global 2000 | 14 years old | Haidian District +176 more,--,Promotions / Appraisal
686,Spinny,3.9,Financial Services | 1k-5k Employees | Indian Unicorn | 9 years old | Gurgaon +42 more,--,"Promotions / Appraisal, Job Security"
687,Lumax Industries,4.0,Auto Components | 1k-5k Employees | Public | 79 years old | Pune +30 more,"Job Security, Skill Development / Learning",--
688,Steel Strips Wheels,3.8,Auto Components | 1k-5k Employees | Public | 33 years old | Chandigarh +35 more,--,"Company Culture, Promotions / Appraisal, Work Life Balance"
689,Amity University,3.6,Education & Training | 1k-5k Employees | 19 years old | Noida +77 more,--,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
690,Bisleri,4.2,Beverage | 1k-5k Employees | 59 years old | Mumbai +135 more,"Job Security, Work Life Balance, Salary & Benefits",--
691,IFB,3.8,Consumer Electronics & Appliances | 201-500 Employees | Public | 50 years old | Kolkata +137 more,--,"Promotions / Appraisal, Work Satisfaction, Company Culture"
692,Unichem Laboratories,4.0,Pharma | 1k-5k Employees | Public | 80 years old | Mumbai +65 more,Job Security,--
693,Aircel,4.5,Telecom | 5k-10k Employees | 25 years old | Gurgaon/Gurugram +115 more,"Company Culture, Work Satisfaction, Skill Development / Learning",--
694,Pine Labs,3.8,FinTech | 1k-5k Employees | Indian Unicorn | 26 years old | Noida +77 more,Salary & Benefits,"Promotions / Appraisal, Job Security"
695,Indoco Remedies,3.7,Pharma | 5k-10k Employees | Public | 77 years old | Mumbai +66 more,--,"Promotions / Appraisal, Salary & Benefits, Company Culture"
696,Cinépolis,4.0,Media & Entertainment | 1k-5k Employees | 53 years old | Morelia +52 more,"Company Culture, Job Security, Skill Development / Learning",--
697,Synchrony,4.4,Financial Services | 1k-5k Employees | Forbes Global 2000 | 92 years old | Stamford +9 more,"Company Culture, Job Security, Work Life Balance",--
698,NEC,4.6,IT Services & Consulting | 5k-10k Employees | Forbes Global 2000 | 125 years old | Noida +40 more,"Work Life Balance, Job Security, Company Culture",--
699,Tanishq,4.4,Jewellery | 5k-10k Employees | 30 years old | Bangalore/Bengaluru +189 more,"Skill Development / Learning, Company Culture, Work Satisfaction",--
700,CorroHealth,3.4,1k-5k Employees | Hyderabad / Secunderabad +17 more,--,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
701,Newgen Software Technologies,3.6,IT Services & Consulting | 1k-5k Employees | Public | 32 years old | New Delhi +22 more,Job Security,"Work Satisfaction, Skill Development / Learning, Promotions / Appraisal"
702,Iffco Tokio General Insurance Co.,4.1,Insurance | 5k-10k Employees | 24 years old | Gurgaon/Gurugram +234 more,"Job Security, Work Life Balance, Company Culture",--
703,Sagility,3.9,BPO | 10k-50k Employees | Bangalore Rural +20 more,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
